car_brand,ad_price,ad_title,ad_source,ad_url,car_color,car_model,reservoir,image
MERCEDES,"69,900 €","MERCEDES CLASSE S 7
VII (2) 350 D 18CV EXECUTIVE L 9G-TRONIC
Noir Obsidienne metallic",MERCEDES CLASSE S 7 VII (2) 350 D 18CV EXECUTIVE L 9G-TRONIC neuve Diesel 4 portes Amilly (Centre-Val-de-Loire),https://www.promoneuve.fr/annonce/mercedes-classe-s-7-neuve-176138955029841.html,Noir Obsidienne metallic,CLASSE,70 L,https://image.promoneuve.fr/648x365/176138955029841_STANDARD_0.jpg
RENAULT,"17,790 €","RENAULT ZOE
(2) R135 INTENS
Gris Highland métallisé",RENAULT ZOE (2) R135 INTENS neuve Electrique 5 portes Saint-Maximin-la-Sainte-Baume (Provence-Alpes-Côte d'Azur),https://www.promoneuve.fr/annonce/renault-zoe-neuve-377914921946168.html,Gris Highland métallisé,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/377914921946168_STANDARD_0.jpg
RENAULT,"13,990 €","RENAULT ZOE
(2) R110 LIFE
Blanc Glacier opaque non métallisé",RENAULT ZOE (2) R110 LIFE neuve Electrique 5 portes Nogent-le-Phaye (Centre-Val-de-Loire),https://www.promoneuve.fr/annonce/renault-zoe-neuve-357596999423338.html,Blanc Glacier opaque non métallisé,"ZOE
(2)",NC,https://photoref.carboatservices.fr/UkVOQVVMVA==/Wk9F/42b9abec9fc9ef6eef5369cf20600e1c/Mg==/52dfb7b8a5e16d91ba90856ea70da37b.png
RENAULT,"15,590 €","RENAULT ZOE
(2) R110 LIFE ACHAT INTEGRAL
Gris Highland métallisé",RENAULT ZOE (2) R110 LIFE ACHAT INTEGRAL neuve Electrique 5 portes Chanteloup-en-Brie (Île-de-France),https://www.promoneuve.fr/annonce/renault-zoe-neuve-578224005715947.html,Gris Highland métallisé,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/578224005715947_STANDARD_0.jpg
HONDA,"29,900 €","HONDA CR-V 5
V 1.5 I-VTEC 193 4WD EXECUTIVE CVT 7PL
Bleu Cosmos métallisé",HONDA CR-V 5 V 1.5 I-VTEC 193 4WD EXECUTIVE CVT 7PL neuve Essence 5 portes Perpignan (Occitanie),https://www.promoneuve.fr/annonce/honda-cr-v-5-neuve-375600.html,Bleu Cosmos métallisé,CR-V,57 L,https://image.promoneuve.fr/648x365/375600_STANDARD_0.jpg
RENAULT,"16,900 €","RENAULT ZOE
(2) R110 INTENS
Violet Blueberry métallisé",RENAULT ZOE (2) R110 INTENS neuve Electrique 5 portes Conflans-Sainte-Honorine (Île-de-France),https://www.promoneuve.fr/annonce/renault-zoe-neuve-632947977402901.html,Violet Blueberry métallisé,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/632947977402901_STANDARD_0.jpg
RENAULT,"16,990 €","RENAULT ZOE
(2) R110 ZEN ACHAT INTEGRAL
Violet Blueberry métallisé",RENAULT ZOE (2) R110 ZEN ACHAT INTEGRAL neuve Electrique 5 portes Chanteloup-en-Brie (Île-de-France),https://www.promoneuve.fr/annonce/renault-zoe-neuve-748649748889424.html,Violet Blueberry métallisé,"ZOE
(2)",NC,https://photoref.carboatservices.fr/UkVOQVVMVA==/Wk9F/42b9abec9fc9ef6eef5369cf20600e1c/Mg==/015c242f2945af6926b328ce19cba73d.png
SEAT,"16,830 €","SEAT MII
ELECTRIC PLUS 83
Blanc Candy uni",SEAT MII ELECTRIC PLUS 83 neuve Electrique 5 portes Nice (Provence-Alpes-Côte d'Azur),https://www.promoneuve.fr/annonce/seat-mii-neuve-561379108411147.html,Blanc Candy uni,"MII
ELECTRIC",NC,https://photoref.carboatservices.fr/U0VBVA==/TUlJ/b821c03ae8f765a01f8c16d397b694a7/MQ==/ed4df2c612ad6f3dfd4e11b649f5382e.png
RENAULT,"22,784 €","RENAULT ZOE
(2) R110 LIMITED ACHAT INTEGRAL 2021
Gris Highland métallisé",RENAULT ZOE (2) R110 LIMITED ACHAT INTEGRAL 2021 neuve Electrique 5 portes Chennevières-sur-Marne (Île-de-France),https://www.promoneuve.fr/annonce/renault-zoe-neuve-137292843234692.html,Gris Highland métallisé,"ZOE
(2)",NC,https://photoref.carboatservices.fr/UkVOQVVMVA==/Wk9F/42b9abec9fc9ef6eef5369cf20600e1c/MQ==/267f337081ae059974474bacab0d5065.png
RENAULT,"25,880 €","RENAULT ZOE
(2) R135 INTENS ACHAT INTEGRAL
Gris Highland métallisé",RENAULT ZOE (2) R135 INTENS ACHAT INTEGRAL neuve Electrique 5 portes Brie-Comte-Robert (Île-de-France),https://www.promoneuve.fr/annonce/renault-zoe-neuve-830354378651926.html,Gris Highland métallisé,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/830354378651926_STANDARD_0.jpg
FIAT,"12,390 €","FIAT 500 (2E GENERATION)
II (2) 1.0 70 4CV BSG LOUNGE
Epic Blue métallisé",FIAT 500 (2E GENERATION) II (2) 1.0 70 4CV BSG LOUNGE neuve Hybride essence électrique 3 portes Neuilly-sur-Marne (Île-de-France),https://www.promoneuve.fr/annonce/fiat-500-2e-generation-neuve-876314988942151.html,Epic Blue métallisé,500,35 L,https://image.promoneuve.fr/648x365/876314988942151_STANDARD_0.jpg
VOLKSWAGEN,"10,490 €","VOLKSWAGEN UP!
(2) 1.0 65 ACTIVE 5P
Rouge Roi métallisé",VOLKSWAGEN UP! (2) 1.0 65 ACTIVE 5P neuve Essence 5 portes Le Chesnay (Île-de-France),https://www.promoneuve.fr/annonce/volkswagen-up-neuve-366576457108166.html,Rouge Roi métallisé,"UP!
(2)",35 L,https://image.promoneuve.fr/648x365/366576457108166_STANDARD_0.jpg
RENAULT,"28,990 €","RENAULT KOLEOS 2
II (2) 1.7 BLUE DCI 150 INTENS 4X2 X-TRONIC
Gris Métallique métallisé",RENAULT KOLEOS 2 II (2) 1.7 BLUE DCI 150 INTENS 4X2 X-TRONIC neuve Diesel 5 portes Saint-Chamond (Auvergne Rhône-Alpes),https://www.promoneuve.fr/annonce/renault-koleos-2-neuve-244698671093254.html,Gris Métallique métallisé,KOLEOS,60 L,https://photoref.carboatservices.fr/UkVOQVVMVA==/S09MRU9T/d6edec6e96c4d8b05d534794e58a9d46/Mg==/5b50509b8476bd4b7c526126a288fb9d.png
VOLKSWAGEN,"22,990 €","VOLKSWAGEN GOLF 7
VII (2) E-GOLF 7CV 5P
Gris Indium métallisé",VOLKSWAGEN GOLF 7 VII (2) E-GOLF 7CV 5P neuve Electrique 5 portes Montigny-en-Gohelle (Hauts-de-France),https://www.promoneuve.fr/annonce/volkswagen-golf-7-neuve-143798389635311.html,Gris Indium métallisé,GOLF,NC,https://image.promoneuve.fr/648x365/143798389635311_STANDARD_0.jpg
RENAULT,"22,990 €","RENAULT ZOE
(2) R135 INTENS ACHAT INTEGRAL MY21
GRIS",RENAULT ZOE (2) R135 INTENS ACHAT INTEGRAL MY21 neuve Electrique 5 portes Angers (Pays de la Loire),https://www.promoneuve.fr/annonce/renault-zoe-neuve-700030004346204.html,GRIS,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/700030004346204_STANDARD_0.jpg
RENAULT,"23,990 €","RENAULT MEGANE 4 ESTATE
IV (2) ESTATE 1.5 BLUE DCI 115 INTENS EDC
Peinture Noir Etoile",RENAULT MEGANE 4 ESTATE IV (2) ESTATE 1.5 BLUE DCI 115 INTENS EDC neuve Diesel 5 portes Brie-Comte-Robert (Île-de-France),https://www.promoneuve.fr/annonce/renault-megane-4-estate-neuve-233055053015170.html,Peinture Noir Etoile,MEGANE,45 L,https://image.promoneuve.fr/648x365/233055053015170_STANDARD_0.jpg
RENAULT,"24,690 €","RENAULT MEGANE 4
IV (2) 1.5 BLUE DCI 115 RS LINE EDC 21B
Peinture Blanc Glacier",RENAULT MEGANE 4 IV (2) 1.5 BLUE DCI 115 RS LINE EDC 21B neuve Diesel 5 portes Brie-Comte-Robert (Île-de-France),https://www.promoneuve.fr/annonce/renault-megane-4-neuve-158624931194352.html,Peinture Blanc Glacier,MEGANE,45 L,https://photoref.carboatservices.fr/UkVOQVVMVA==/TUVHQU5F/388a49274a365960daca88b0fcc9d053/Mg==/977cf9a837031e9ca17ed233cdce5187.png
RENAULT,"15,990 €","RENAULT ZOE
(2) R110 LIFE ACHAT INTEGRAL
Violet Blueberry métallisé",RENAULT ZOE (2) R110 LIFE ACHAT INTEGRAL neuve Electrique 5 portes Noisy-le-Grand (Île-de-France),https://www.promoneuve.fr/annonce/renault-zoe-neuve-200488890937352.html,Violet Blueberry métallisé,"ZOE
(2)",NC,https://photoref.carboatservices.fr/UkVOQVVMVA==/Wk9F/42b9abec9fc9ef6eef5369cf20600e1c/Mg==/015c242f2945af6926b328ce19cba73d.png
OPEL,"19,990 €","OPEL CORSA 6
VI MOTEUR ELECTRIQUE 136 CORSA-E EDITION
Blanc Jade brillante",OPEL CORSA 6 VI MOTEUR ELECTRIQUE 136 CORSA-E EDITION neuve Electrique 5 portes Gond-Pontouvre (Nouvelle-Aquitaine),https://www.promoneuve.fr/annonce/opel-corsa-6-neuve-555300850398286.html,Blanc Jade brillante,CORSA,NC,https://image.promoneuve.fr/648x365/555300850398286_STANDARD_0.jpg
VOLKSWAGEN,"15,290 €","VOLKSWAGEN UP!
(2) E-UP! 2.0 5P
Noir Intense nacré",VOLKSWAGEN UP! (2) E-UP! 2.0 5P neuve Electrique 5 portes Mougins (Provence-Alpes-Côte d'Azur),https://www.promoneuve.fr/annonce/volkswagen-up-neuve-541258309747816.html,Noir Intense nacré,"UP!
(2)",NC,https://image.promoneuve.fr/648x365/541258309747816_STANDARD_0.jpg
RENAULT,"21,900 €","RENAULT ZOE
(2) R110 ZEN ACHAT INTEGRAL
Blanc Glacier opaque non métallisé",RENAULT ZOE (2) R110 ZEN ACHAT INTEGRAL neuve Electrique 5 portes Vesoul (Bourgogne Franche-Comté),https://www.promoneuve.fr/annonce/renault-zoe-neuve-463813945953722.html,Blanc Glacier opaque non métallisé,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/463813945953722_STANDARD_0.jpg
RENAULT,"25,890 €","RENAULT ZOE
(2) R110 INTENS ACHAT INTEGRAL 2CV
Bleu Céladon métallisé",RENAULT ZOE (2) R110 INTENS ACHAT INTEGRAL 2CV neuve Electrique 5 portes Saint-Maximin-la-Sainte-Baume (Provence-Alpes-Côte d'Azur),https://www.promoneuve.fr/annonce/renault-zoe-neuve-210430302910283.html,Bleu Céladon métallisé,"ZOE
(2)",NC,https://image.promoneuve.fr/648x365/210430302910283_STANDARD_0.jpg
